TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1, V_ACT_2, Q_ACT_2, V_TARGET_2, Q_TARGET_2, Q_MIN_2, Q_MAX_2, Q_MIN_ERROR_2, Q_MAX_ERROR_2, V_ACT_3, Q_ACT_3, V_TARGET_3, Q_TARGET_3, Q_MIN_3, Q_MAX_3, Q_MIN_ERROR_3, Q_MAX_ERROR_3
1524256361.79, 804.572998047, 28.2217330933, 211.151138306, 211.146881104, 211.142089844, 45.0598373413, 45.0797271729, 45.0890274048, 22706.4444049, 9545.83138021, 9545.83138021, 9545.83138021, 7627.65625, 7627.65625, 7627.65625, 5723.81640625, 5723.81640625, 5723.81640625, 50.0, 50.0, 50.0, 0.792042315006, 0.792042315006, 0.792042315006, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256362.33, 812.098693848, 27.9143028259, 211.106140137, 211.096160889, 211.095474243, 45.0040168762, 44.9292831421, 45.080997467, 22669.1688646, 9511.92838542, 9511.92838542, 9511.92838542, 7571.48763021, 7571.48763021, 7571.48763021, 5706.20117188, 5706.20117188, 5706.20117188, 50.0, 50.0, 50.0, 0.794339776039, 0.794339776039, 0.794339776039, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256362.39, 805.457885742, 28.2742500305, 211.097244263, 211.094970703, 211.098358154, 44.9992599487, 45.0353660583, 45.1041984558, 22773.7176505, 9509.68945312, 9509.68945312, 9509.68945312, 7525.50846354, 7525.50846354, 7525.50846354, 5745.65559896, 5745.65559896, 5745.65559896, 50.0, 50.0, 50.0, 0.796137452126, 0.796137452126, 0.796137452126, 0.0, 0.0, 211.106140137, 5706.20117188, 211.11875, 5750.0, 5250.0, 6250.0, 500.0, 500.0, 211.096160889, 5706.20117188, 211.11875, 5750.0, 5250.0, 6250.0, 500.0, 500.0, 211.095474243, 5706.20117188, 211.11875, 5750.0, 5250.0, 6250.0, 500.0, 500.0
1524256362.8, 802.54498291, 28.4905090332, 215.238388062, 215.254821777, 215.259811401, 44.209651947, 44.2354469299, 44.2440223694, 22864.9150852, 9623.99544271, 9623.99544271, 9623.99544271, 7613.27539062, 7613.27539062, 7613.27539062, 5771.67708333, 5771.67708333, 5771.67708333, 50.0, 50.0, 50.0, 0.79717618227, 0.79717618227, 0.79717618227, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256363.79, 819.15234375, 27.5619468689, 215.221603394, 215.2134552, 215.212890625, 44.1330032349, 44.2417945862, 44.2437057495, 22577.433376, 9477.36653646, 9477.36653646, 9477.36653646, 7633.48632812, 7633.48632812, 7633.48632812, 5821.32096354, 5821.32096354, 5821.32096354, 50.0, 50.0, 50.0, 0.797248840332, 0.797248840332, 0.797248840332, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256363.82, 818.439697266, 27.7502059937, 215.216720581, 215.211654663, 215.212799072, 44.2053451538, 44.2417945862, 44.2437057495, 22711.8701925, 9547.7421875, 9547.7421875, 9547.7421875, 7565.84570312, 7565.84570312, 7565.84570312, 5598.56054688, 5598.56054688, 5598.56054688, 50.0, 50.0, 50.0, 0.796572864056, 0.796572864056, 0.796572864056, 0.0, 0.0, 215.221603394, 5821.32096354, 215.2375, 5750.0, 5250.0, 6250.0, 500.0, 500.0, 215.2134552, 5821.32096354, 215.2375, 5750.0, 5250.0, 6250.0, 500.0, 500.0, 215.212890625, 5821.32096354, 215.2375, 5750.0, 5250.0, 6250.0, 500.0, 500.0
1524256363.87, 820.442016602, 27.6502723694, 215.214813232, 215.211654663, 215.21786499, 44.1277084351, 44.1884460449, 43.9857559204, 22685.4452223, 9579.56445312, 9579.56445312, 9579.56445312, 7622.57486979, 7622.57486979, 7622.57486979, 5881.61523438, 5881.61523438, 5881.61523438, 50.0, 50.0, 50.0, 0.793777644634, 0.793777644634, 0.793777644634, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256364.79, 810.145019531, 28.1688995361, 219.390670776, 219.383789062, 219.377334595, 43.1384849548, 43.4103813171, 43.3748245239, 22820.8936649, 9527.85611979, 9527.85611979, 9527.85611979, 7544.79427083, 7544.79427083, 7544.79427083, 5726.54947917, 5726.54947917, 5726.54947917, 50.0, 50.0, 50.0, 0.792626142502, 0.792626142502, 0.792626142502, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256365.35, 805.301757812, 28.1879425049, 219.332015991, 219.329818726, 219.335327148, 43.3033638, 43.3454055786, 43.5672149658, 22699.7996483, 9510.47981771, 9510.47981771, 9510.47981771, 7577.9453125, 7577.9453125, 7577.9453125, 5646.08072917, 5646.08072917, 5646.08072917, 50.0, 50.0, 50.0, 0.801912665367, 0.801912665367, 0.801912665367, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256365.39, 807.71673584, 28.0739078522, 219.328475952, 219.333450317, 219.341384888, 43.3654594421, 43.612449646, 43.4569015503, 22675.7652126, 9502.00651042, 9502.00651042, 9502.00651042, 7527.09895833, 7527.09895833, 7527.09895833, 5712.82096354, 5712.82096354, 5712.82096354, 50.0, 50.0, 50.0, 0.798556506634, 0.798556506634, 0.798556506634, 0.0, 0.0, 219.332015991, 5646.08072917, 219.35625, 5750.0, 5250.0, 6250.0, 500.0, 500.0, 219.329818726, 5646.08072917, 219.35625, 5750.0, 5250.0, 6250.0, 500.0, 500.0, 219.335327148, 5646.08072917, 219.35625, 5750.0, 5250.0, 6250.0, 500.0, 500.0
1524256365.79, 809.805908203, 27.9692153931, 223.485412598, 223.502685547, 223.508056641, 42.3746185303, 42.4793777466, 42.6232452393, 22649.6358731, 9522.20507812, 9522.20507812, 9522.20507812, 7578.22786458, 7578.22786458, 7578.22786458, 5733.75651042, 5733.75651042, 5733.75651042, 50.0, 50.0, 50.0, 0.796437323093, 0.796437323093, 0.796437323093, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256366.79, 807.890441895, 28.2241230011, 223.444366455, 223.447128296, 223.451309204, 42.6066970825, 42.8884811401, 42.6899681091, 22801.9992034, 9542.35091146, 9542.35091146, 9542.35091146, 7615.51692708, 7615.51692708, 7615.51692708, 5756.140625, 5756.140625, 5756.140625, 50.0, 50.0, 50.0, 0.800082623959, 0.800082623959, 0.800082623959, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256366.84, 796.502990723, 28.6624145508, 223.446075439, 223.451629639, 223.458557129, 42.595993042, 42.6721611023, 42.7285308838, 22829.698911, 9475.05664062, 9475.05664062, 9475.05664062, 7675.71744792, 7675.71744792, 7675.71744792, 5811.65559896, 5811.65559896, 5811.65559896, 50.0, 50.0, 50.0, 0.799362719059, 0.799362719059, 0.799362719059, 0.0, 0.0, 223.444366455, 5756.140625, 223.475, 5750.0, 3634.4, 6250.0, 2115.6, 500.0, 223.447128296, 5756.140625, 223.475, 5750.0, 3629.8, 6250.0, 2120.2, 500.0, 223.451309204, 5756.140625, 223.475, 5750.0, 3622.83333333, 6250.0, 2127.16666667, 500.0
1524256366.89, 800.28918457, 28.5790939331, 223.447021484, 223.460021973, 223.465148926, 42.6092300415, 42.6795043945, 42.6228408813, 22871.5397795, 9585.77604167, 9585.77604167, 9585.77604167, 7654.23828125, 7654.23828125, 7654.23828125, 5642.96679688, 5642.96679688, 5642.96679688, 50.0, 50.0, 50.0, 0.798068642616, 0.798068642616, 0.798068642616, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256367.78, 805.394958496, 28.3415641785, 224.368103027, 224.353088379, 224.342880249, 40.9971466064, 40.9642906189, 40.9777412415, 22826.1529052, 9112.21419271, 9112.21419271, 9112.21419271, 7549.09635417, 7549.09635417, 7549.09635417, 5280.51041667, 5280.51041667, 5280.51041667, 50.0, 50.0, 50.0, 0.819726169109, 0.819726169109, 0.819726169109, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256368.31, 797.950500488, 28.5169086456, 224.304443359, 224.317199707, 224.328338623, 41.0251579285, 41.0317306519, 41.1175003052, 22755.0815262, 9257.78190104, 9257.78190104, 9257.78190104, 7625.18294271, 7625.18294271, 7625.18294271, 5165.59667969, 5165.59667969, 5165.59667969, 50.0, 50.0, 50.0, 0.824762105942, 0.824762105942, 0.824762105942, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524256368.33, 810.500061035, 28.1975383759, 224.304443359, 224.317199707, 224.328338623, 41.0184326172, 41.0090103149, 41.1206245422, 22854.1065747, 9187.35416667, 9187.35416667, 9187.35416667, 7511.10026042, 7511.10026042, 7511.10026042, 5169.4140625, 5169.4140625, 5169.4140625, 50.0, 50.0, 50.0, 0.820028305054, 0.820028305054, 0.820028305054, 0.0, 0.0, 224.304443359, 5165.59667969, 224.3375, 4367.6, 2200.93333333, 6250.0, 2166.66666667, 1882.4, 224.317199707, 5165.59667969, 224.3375, 4346.33333333, 2179.66666667, 6250.0, 2166.66666667, 1903.66666667, 224.328338623, 5165.59667969, 224.3375, 4327.76666667, 2161.1, 6250.0, 2166.66666667, 1922.23333333
