Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result 1, Var Actual 1, Var Target 1, Var Min Allowed 1, Var Max Allowed 1,Point Result 2, Var Actual 2, Var Target 2, Var Min Allowed 2, Var Max Allowed 2,Point Result 3, Var Actual 3, Var Target 3, Var Min Allowed 3, Var Max Allowed 3
, , , , , , , Pass, -2940.77376302, -2875.0, -3375.0, -2375.0, Pass, -2940.77376302, -2875.0, -3375.0, -2375.0, Pass, -2940.77376302, -2875.0, -3375.0, -2375.0
, , , , , , , Pass, -2953.89713542, -2875.0, -3375.0, -2375.0, Pass, -2953.89713542, -2875.0, -3375.0, -2375.0, Pass, -2953.89713542, -2875.0, -3375.0, -2375.0
, , , , , , , Pass, -2899.37076823, -2875.0, -3375.0, -2375.0, Pass, -2899.37076823, -2875.0, -3375.0, -2375.0, Pass, -2899.37076823, -2875.0, -3375.0, -2375.0
, , , , , , , Fail, -367.666503906, -2875.0, -3375.0, -1160.56666667, Fail, -367.666503906, -2875.0, -3375.0, -1159.53333333, Fail, -367.666503906, -2875.0, -3375.0, -1159.56666667
, , , , , , , Fail, 4.29122034709, -2184.93333333, -3375.0, -441.133333333, Fail, 4.29122034709, -2166.43333333, -3375.0, -422.633333333, Fail, 4.29122034709, -2165.93333333, -3375.0, -422.166666667
, , , , , , , Pass, -60.1353963216, -1456.1, -3199.9, 287.666666667, Pass, -60.1353963216, -1444.13333333, -3187.93333333, 299.633333333, Pass, -60.1353963216, -1428.2, -3171.96666667, 315.6
, , , , , , , Pass, -35.1580149333, -711.7, -2455.46666667, 500.0, Pass, -35.1580149333, -688.366666667, -2432.13333333, 500.0, Pass, -35.1580149333, -679.966666667, -2423.76666667, 500.0
, , , , , , , Pass, -5.20167032878, 0.0, -1739.66666667, 500.0, Pass, -5.20167032878, 0.0, -1712.16666667, 500.0, Pass, -5.20167032878, 0.0, -1698.33333333, 500.0
, , , , , , , Pass, 211.982014974, 0.0, -994.333333333, 500.0, Pass, 211.982014974, 0.0, -986.666666667, 500.0, Pass, 211.982014974, 0.0, -995.233333333, 500.0
, , , , , , , Fail, 888.797688802, 0.0, -500.0, 500.0, Fail, 888.797688802, 0.0, -500.0, 500.0, Fail, 888.797688802, 0.0, -500.0, 500.0
, , , , , , , Fail, 1659.94026693, 0.0, -500.0, 1047.4, Fail, 1659.94026693, 0.0, -500.0, 1028.86666667, Fail, 1659.94026693, 0.0, -500.0, 1022.4
, , , , , , , Fail, 2339.81152344, 9.16666666667, -500.0, 1765.46666667, Fail, 2339.81152344, 0.0, -500.0, 1745.96666667, Fail, 2339.81152344, 0.0, -500.0, 1742.36666667
, , , , , , , Fail, 2853.85481771, 700.3, -500.0, 2456.56666667, Fail, 2853.85481771, 690.133333333, -500.0, 2446.4, Fail, 2853.85481771, 687.733333333, -500.0, 2444.03333333
, , , , , , , Pass, 2916.34798177, 1417.43333333, -338.866666667, 3173.7, Pass, 2916.34798177, 1406.7, -349.566666667, 3163.0, Pass, 2916.34798177, 1407.3, -348.966666667, 3163.6
, , , , , , , Pass, 2840.37304688, 2127.73333333, 371.433333333, 3375.0, Pass, 2840.37304688, 2124.23333333, 367.966666667, 3375.0, Pass, 2840.37304688, 2119.6, 363.3, 3375.0
, , , , , , , Pass, 2907.85286458, 2841.0, 1084.73333333, 3375.0, Pass, 2907.85286458, 2841.7, 1085.4, 3375.0, Pass, 2907.85286458, 2839.86666667, 1083.6, 3375.0
, , , , , , , Pass, 2881.30533854, 2875.0, 2375.0, 3375.0, Pass, 2881.30533854, 2875.0, 2375.0, 3375.0, Pass, 2881.30533854, 2875.0, 2375.0, 3375.0
, , , , , , , Pass, 2843.63802083, 2875.0, 2375.0, 3375.0, Pass, 2843.63802083, 2875.0, 2375.0, 3375.0, Pass, 2843.63802083, 2875.0, 2375.0, 3375.0
, , , , , , , Pass, 2928.59016927, 2875.0, 2375.0, 3375.0, Pass, 2928.59016927, 2875.0, 2375.0, 3375.0, Pass, 2928.59016927, 2875.0, 2375.0, 3375.0
Fail, VV_3_100_down_1, Reactive, 100.0, 3, 1500.0, VV_3_100_down_1.csv, , , , , , , , , , , , , , , 
, , , , , , , Pass, 2894.87207031, 2875.0, 2375.0, 3375.0, Pass, 2894.87207031, 2875.0, 2375.0, 3375.0, Pass, 2894.87207031, 2875.0, 2375.0, 3375.0
, , , , , , , Pass, 2797.36751302, 2875.0, 2375.0, 3375.0, Pass, 2797.36751302, 2875.0, 2375.0, 3375.0, Pass, 2797.36751302, 2875.0, 2375.0, 3375.0
, , , , , , , Pass, 2820.41178385, 2875.0, 2375.0, 3375.0, Pass, 2820.41178385, 2875.0, 2375.0, 3375.0, Pass, 2820.41178385, 2875.0, 2375.0, 3375.0
, , , , , , , Pass, 2929.63509115, 2875.0, 1141.06666667, 3375.0, Pass, 2929.63509115, 2875.0, 1124.6, 3375.0, Pass, 2929.63509115, 2870.3, 1114.03333333, 3375.0
, , , , , , , Pass, 2854.28027344, 2155.66666667, 399.4, 3375.0, Pass, 2854.28027344, 2140.5, 384.2, 3375.0, Pass, 2854.28027344, 2137.23333333, 380.933333333, 3375.0
, , , , , , , Pass, 2857.14029948, 1429.36666667, -326.933333333, 3185.63333333, Pass, 2857.14029948, 1412.3, -344.0, 3168.56666667, Pass, 2857.14029948, 1411.66666667, -344.6, 3167.96666667
