Result, Test Name, Power Level (%), Iteration, PF Actual, PF Target, PF MSA, PF Min Allowed, PF Max Allowed, Dataset File
Pass, SPF_min_cap, 100, 1, 0.996, 1.0, 0.03, -0.97, 0.97, spf_1000_100_1.csv
Pass, SPF_min_cap, 100, 1, -0.872, -0.85, 0.03, -0.88, -0.82, spf_-850.0_100_1.csv
Pass, SPF_min_cap, 100, 2, 0.996, 1.0, 0.03, -0.97, 0.97, spf_1000_100_2.csv
Pass, SPF_min_cap, 100, 2, -0.872, -0.85, 0.03, -0.88, -0.82, spf_-850.0_100_2.csv
Pass, SPF_min_cap, 100, 3, 0.996, 1.0, 0.03, -0.97, 0.97, spf_1000_100_3.csv
Pass, SPF_min_cap, 100, 3, -0.871, -0.85, 0.03, -0.88, -0.82, spf_-850.0_100_3.csv
Pass, SPF_min_cap, 50.0, 1, 0.988, 1.0, 0.03, -0.97, 0.97, spf_1000_50_1.csv
Fail, SPF_min_cap, 50.0, 1, -0.886, -0.85, 0.03, -0.88, -0.82, spf_-850.0_50_1.csv
Pass, SPF_min_cap, 50.0, 2, 0.989, 1.0, 0.03, -0.97, 0.97, spf_1000_50_2.csv
Fail, SPF_min_cap, 50.0, 2, -0.885, -0.85, 0.03, -0.88, -0.82, spf_-850.0_50_2.csv
Pass, SPF_min_cap, 50.0, 3, 0.988, 1.0, 0.03, -0.97, 0.97, spf_1000_50_3.csv
Fail, SPF_min_cap, 50.0, 3, -0.885, -0.85, 0.03, -0.88, -0.82, spf_-850.0_50_3.csv
Fail, SPF_min_cap, 20.0, 1, 0.954, 1.0, 0.03, -0.97, 0.97, spf_1000_20_1.csv
Fail, SPF_min_cap, 20.0, 1, -0.906, -0.85, 0.03, -0.88, -0.82, spf_-850.0_20_1.csv
Fail, SPF_min_cap, 20.0, 2, 0.952, 1.0, 0.03, -0.97, 0.97, spf_1000_20_2.csv
Fail, SPF_min_cap, 20.0, 2, -0.906, -0.85, 0.03, -0.88, -0.82, spf_-850.0_20_2.csv
Fail, SPF_min_cap, 20.0, 3, 0.954, 1.0, 0.03, -0.97, 0.97, spf_1000_20_3.csv
Fail, SPF_min_cap, 20.0, 3, -0.907, -0.85, 0.03, -0.88, -0.82, spf_-850.0_20_3.csv
