TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607113706.35, 459.839, 6.607, 259.21, 11.207, 3001.085, 2908.361, 2832.688, -614.741, 60.051, 0.974, 0.0, 0.057, , , , , , , , 
3607113707.35, 460.065, 6.606, 259.393, 11.269, 3000.877, 2925.339, 2850.757, -613.471, 60.051, 0.975, 0.0, 0.055, , , , , , , , 
3607113708.01, 460.037, 6.604, 259.379, 11.188, 3000.268, 2905.151, 2831.169, -610.523, 60.051, 0.975, 0.0, 0.056, , , , , , , , 
3607113708.01, 460.037, 6.604, 259.379, 11.188, 3000.268, 2905.151, 2831.169, -610.523, 60.051, 0.975, 0.0, 0.056, 259.379, -610.523, 259.206, -450.0, -850.0, -50.0, 400.0, 400.0
3607113708.68, 460.081, 6.604, 254.688, 11.451, 3000.85, 2918.79, 2842.642, -623.756, 60.05, 0.974, 0.0, 0.055, , , , , , , , 
3607113709.35, 459.944, 6.604, 254.591, 11.465, 3000.491, 2921.341, 2846.52, -619.737, 60.05, 0.974, 0.0, 0.055, , , , , , , , 
3607113710.35, 459.023, 6.618, 254.607, 11.44, 3000.149, 2915.418, 2841.515, -613.204, 60.05, 0.975, 0.0, 0.055, , , , , , , , 
3607113710.35, 459.023, 6.618, 254.607, 11.44, 3000.149, 2915.418, 2841.515, -613.204, 60.05, 0.975, 0.0, 0.055, 254.607, -613.204, 254.412, -450.0, -850.0, -50.0, 400.0, 400.0
3607113710.35, 459.023, 6.618, 254.607, 11.44, 3000.149, 2915.418, 2841.515, -613.204, 60.05, 0.975, 0.0, 0.055, , , , , , , , 
3607113711.35, 459.06, 6.618, 249.853, 11.639, 3000.192, 2910.553, 2837.972, -610.925, 60.051, 0.975, 0.0, 0.056, , , , , , , , 
3607113712.35, 458.912, 6.618, 249.739, 11.635, 2999.894, 2908.744, 2836.368, -608.39, 60.051, 0.975, 0.0, 0.053, , , , , , , , 
3607113713.01, 458.959, 6.617, 249.855, 11.594, 2999.873, 2899.343, 2826.016, -612.643, 60.051, 0.975, 0.0, 0.051, , , , , , , , 
