TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607113850.01, 452.906, 6.692, 221.03, 12.83, 2994.395, 2837.983, 2825.685, 222.927, 60.051, -0.996, 0.0, 0.054, , , , , , , , 
3607113851.01, 453.774, 6.68, 221.009, 12.798, 2995.372, 2831.164, 2818.722, 216.206, 60.051, -0.996, 0.0, 0.054, , , , , , , , 
3607113851.35, 453.885, 6.677, 221.015, 12.84, 2995.433, 2839.78, 2826.706, 228.137, 60.051, -0.995, 0.0, 0.057, , , , , , , , 
3607113851.35, 453.885, 6.677, 221.015, 12.84, 2995.433, 2839.78, 2826.706, 228.137, 60.051, -0.995, 0.0, 0.057, 221.015, 228.137, 220.806, 450.0, 50.0, 850.0, 400.0, 400.0
3607113852.01, 453.546, 6.682, 224.034, 12.583, 2994.483, 2820.749, 2807.748, 211.37, 60.051, -0.995, 0.0, 0.326, , , , , , , , 
3607113853.01, 453.906, 6.681, 225.782, 12.547, 2995.372, 2834.933, 2822.973, 211.532, 60.051, -0.996, 0.0, 0.055, , , , , , , , 
3607113854.01, 454.848, 6.667, 225.775, 12.579, 2996.103, 2842.895, 2830.553, 214.873, 60.05, -0.996, 0.0, 0.056, , , , , , , , 
3607113854.01, 454.848, 6.667, 225.775, 12.579, 2996.103, 2842.895, 2830.553, 214.873, 60.05, -0.996, 0.0, 0.056, 225.775, 214.873, 225.612, 450.0, 50.0, 850.0, 400.0, 400.0
3607113854.01, 454.848, 6.667, 225.775, 12.579, 2996.103, 2842.895, 2830.553, 214.873, 60.05, -0.996, 0.0, 0.056, , , , , , , , 
3607113854.68, 454.638, 6.673, 230.599, 12.339, 2996.679, 2848.019, 2835.081, 219.977, 60.05, -0.996, 0.0, 0.055, , , , , , , , 
3607113856.01, 454.894, 6.67, 230.661, 12.352, 2996.831, 2851.298, 2838.765, 215.936, 60.05, -0.996, 0.0, 0.055, , , , , , , , 
3607113856.35, 454.83, 6.668, 230.609, 12.305, 2995.955, 2840.703, 2828.89, 209.692, 60.05, -0.996, 0.0, 0.054, , , , , , , , 
3607113856.35, 454.83, 6.668, 230.609, 12.305, 2995.955, 2840.703, 2828.89, 209.692, 60.05, -0.996, 0.0, 0.054, 230.609, 209.692, 230.418, 450.0, 50.0, 850.0, 400.0, 400.0
3607113857.01, 454.68, 6.67, 233.888, 12.096, 2996.034, 2829.72, 2818.964, 152.209, 60.051, -0.996, 0.0, 0.33, , , , , , , , 
3607113858.01, 455.946, 6.656, 235.434, 12.068, 2997.823, 2843.593, 2831.053, -203.525, 60.05, 0.996, 0.0, 0.057, , , , , , , , 
3607113859.01, 455.865, 6.656, 235.307, 12.065, 2997.976, 2842.865, 2830.181, -202.798, 60.05, 0.996, 0.0, 0.05, , , , , , , , 
3607113859.01, 455.865, 6.656, 235.307, 12.065, 2997.976, 2842.865, 2830.181, -202.798, 60.05, 0.996, 0.0, 0.05, 235.307, -202.798, 235.224, 434.3, -155.1, 850.0, 589.4, 415.7
3607113859.01, 455.865, 6.656, 235.307, 12.065, 2997.976, 2842.865, 2830.181, -202.798, 60.05, 0.996, 0.0, 0.05, , , , , , , , 
3607113860.01, 455.833, 6.654, 235.969, 12.015, 2996.913, 2838.317, 2826.456, -202.054, 60.051, 0.996, 0.0, 0.055, , , , , , , , 
3607113861.01, 456.3, 6.651, 235.946, 12.051, 2997.705, 2846.579, 2834.325, -201.205, 60.05, 0.996, 0.0, 0.059, , , , , , , , 
3607113861.35, 456.956, 6.642, 235.94, 12.033, 2998.772, 2841.599, 2829.858, -196.695, 60.051, 0.996, 0.0, 0.054, , , , , , , , 
3607113861.35, 456.956, 6.642, 235.94, 12.033, 2998.772, 2841.599, 2829.858, -196.695, 60.051, 0.996, 0.0, 0.054, 235.94, -196.695, 235.818, 314.4, -275.0, 850.0, 589.4, 535.6
3607113862.01, 456.811, 6.643, 236.3, 12.002, 2998.759, 2839.781, 2826.874, -211.619, 60.051, 0.996, 0.0, 0.335, , , , , , , , 
3607113863.01, 456.915, 6.645, 236.587, 12.075, 2999.145, 2859.038, 2846.627, -207.163, 60.051, 0.996, 0.0, 0.057, , , , , , , , 
3607113864.01, 456.848, 6.644, 236.564, 12.006, 2998.322, 2842.651, 2829.511, -213.635, 60.05, 0.995, 0.0, 0.059, , , , , , , , 
3607113864.01, 456.848, 6.644, 236.564, 12.006, 2998.322, 2842.651, 2829.511, -213.635, 60.05, 0.995, 0.0, 0.059, 236.564, -213.635, 236.412, 196.2, -393.2, 785.6, 589.4, 589.4
3607113864.01, 456.848, 6.644, 236.564, 12.006, 2998.322, 2842.651, 2829.511, -213.635, 60.05, 0.995, 0.0, 0.059, , , , , , , , 
3607113865.01, 457.832, 6.632, 237.243, 11.969, 2999.211, 2842.552, 2830.997, -196.198, 60.051, 0.996, 0.0, 0.064, , , , , , , , 
3607113866.01, 458.112, 6.63, 237.159, 11.941, 2998.898, 2835.146, 2822.359, -208.832, 60.05, 0.996, 0.0, 0.056, , , , , , , , 
3607113866.35, 457.867, 6.631, 237.159, 12.037, 2999.097, 2856.421, 2844.935, -191.94, 60.051, 0.996, 0.0, 0.053, , , , , , , , 
3607113866.35, 457.867, 6.631, 237.159, 12.037, 2999.097, 2856.421, 2844.935, -191.94, 60.051, 0.996, 0.0, 0.053, 237.159, -191.94, 237.006, 83.5, -400.0, 672.9, 483.5, 589.4
3607113867.01, 457.773, 6.631, 237.528, 11.939, 2999.017, 2838.602, 2825.614, -208.362, 60.051, 0.995, 0.0, 0.33, , , , , , , , 
3607113868.01, 456.995, 6.643, 237.721, 11.983, 2998.846, 2850.775, 2838.012, -210.179, 60.05, 0.996, 0.0, 0.056, , , , , , , , 
3607113869.01, 456.903, 6.643, 237.78, 11.964, 2998.785, 2847.768, 2835.197, -204.311, 60.051, 0.996, 0.0, 0.054, , , , , , , , 
3607113869.01, 456.903, 6.643, 237.78, 11.964, 2998.785, 2847.768, 2835.197, -204.311, 60.051, 0.996, 0.0, 0.054, 237.78, -204.311, 237.6, 0.0, -400.0, 555.3, 400.0, 555.3
3607113869.01, 456.903, 6.643, 237.78, 11.964, 2998.785, 2847.768, 2835.197, -204.311, 60.051, 0.996, 0.0, 0.054, , , , , , , , 
3607113870.01, 456.857, 6.645, 238.886, 11.964, 2998.568, 2861.248, 2834.753, -349.725, 60.051, 0.991, 0.0, 0.056, , , , , , , , 
3607113871.01, 456.79, 6.645, 238.902, 11.957, 2998.919, 2860.524, 2830.863, -368.649, 60.05, 0.99, 0.0, 0.053, , , , , , , , 
3607113871.35, 457.608, 6.637, 238.91, 11.968, 2999.238, 2860.16, 2830.403, -372.96, 60.05, 0.99, 0.0, 0.059, , , , , , , , 
