Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result, Var Actual, Var Target, Var Min Allowed, Var Max Allowed
, , , , , , , Pass, -610.523, -450.0, -850.0, -50.0
, , , , , , , Pass, -613.204, -450.0, -850.0, -50.0
, , , , , , , Pass, -612.643, -450.0, -850.0, -50.0
, , , , , , , Pass, -606.121, -450.0, -850.0, 128.8
, , , , , , , Pass, -602.929, -352.7, -850.0, 232.9
, , , , , , , Pass, -606.161, -242.8, -828.5, 342.8
, , , , , , , Pass, -601.365, -131.6, -717.3, 400.0
, , , , , , , Fail, -605.819, -2.8, -588.4, 400.0
, , , , , , , Fail, -600.112, 0.0, -400.0, 400.0
, , , , , , , Fail, -568.81, 0.0, -400.0, 400.0
, , , , , , , Pass, -379.613, 0.0, -400.0, 400.0
, , , , , , , Pass, -208.667, 0.0, -400.0, 551.9
, , , , , , , Pass, -202.598, 86.6, -400.0, 675.9
, , , , , , , Pass, -208.09, 202.5, -386.9, 791.9
, , , , , , , Pass, -209.62, 312.3, -277.1, 850.0
, , , , , , , Fail, -200.845, 433.7, -155.7, 850.0
, , , , , , , Pass, 214.066, 450.0, 50.0, 850.0
, , , , , , , Pass, 217.166, 450.0, 50.0, 850.0
, , , , , , , Pass, 213.852, 450.0, 50.0, 850.0
Fail, VV_3_100_down_1, Reactive, 100.0, 3, 400.0, VV_3_100_down_1.csv, , , , , 
, , , , , , , Pass, 221.215, 450.0, 50.0, 850.0
, , , , , , , Pass, 212.51, 450.0, 50.0, 850.0
, , , , , , , Pass, 213.937, 450.0, 50.0, 850.0
, , , , , , , Fail, -201.856, 424.2, -165.2, 850.0
, , , , , , , Pass, -207.363, 311.6, -277.8, 850.0
, , , , , , , Pass, -206.437, 184.3, -400.0, 773.7
, , , , , , , Pass, -196.327, 85.0, -400.0, 674.4
, , , , , , , Pass, -200.921, 0.0, -400.0, 551.7
, , , , , , , Pass, -382.863, 0.0, -400.0, 400.0
, , , , , , , Fail, -566.344, 0.0, -400.0, 400.0
, , , , , , , Fail, -604.963, 0.0, -400.0, 400.0
, , , , , , , Pass, -606.728, -27.7, -613.3, 400.0
, , , , , , , Pass, -600.04, -141.6, -727.3, 400.0
, , , , , , , Pass, -613.378, -253.6, -839.2, 332.1
, , , , , , , Pass, -605.026, -362.4, -850.0, 223.3
, , , , , , , Pass, -604.189, -450.0, -850.0, 107.4
